Picture Number:   77	 QP:   22  [ PSNR-Y: 45.00 dB,	PSNR-U: 51.59 dB,	PSNR-V: 52.08 dB,	MSE-Y: 2.06,	MSE-U: 0.45,	MSE-V: 0.40,	SSIM-Y: 0.98326,	SSIM-U: 0.99486,	SSIM-V: 0.99527 ]	   4546 bytes
Picture Number:   78	 QP:   21  [ PSNR-Y: 45.56 dB,	PSNR-U: 51.80 dB,	PSNR-V: 52.30 dB,	MSE-Y: 1.81,	MSE-U: 0.43,	MSE-V: 0.38,	SSIM-Y: 0.98408,	SSIM-U: 0.99501,	SSIM-V: 0.99543 ]	      5 bytes
Picture Number:   79	 QP:   22  [ PSNR-Y: 45.25 dB,	PSNR-U: 51.67 dB,	PSNR-V: 52.29 dB,	MSE-Y: 1.94,	MSE-U: 0.44,	MSE-V: 0.38,	SSIM-Y: 0.98383,	SSIM-U: 0.99487,	SSIM-V: 0.99542 ]	   1509 bytes
Picture Number:   80	 QP:    8  [ PSNR-Y: 45.79 dB,	PSNR-U: 51.72 dB,	PSNR-V: 52.41 dB,	MSE-Y: 1.71,	MSE-U: 0.44,	MSE-V: 0.37,	SSIM-Y: 0.98384,	SSIM-U: 0.99491,	SSIM-V: 0.99551 ]	      5 bytes
Picture Number:   81	 QP:   22  [ PSNR-Y: 45.07 dB,	PSNR-U: 51.70 dB,	PSNR-V: 52.35 dB,	MSE-Y: 2.02,	MSE-U: 0.44,	MSE-V: 0.38,	SSIM-Y: 0.98245,	SSIM-U: 0.99481,	SSIM-V: 0.99552 ]	  18029 bytes
Picture Number:   82	 QP:   21  [ PSNR-Y: 45.47 dB,	PSNR-U: 51.67 dB,	PSNR-V: 52.32 dB,	MSE-Y: 1.85,	MSE-U: 0.44,	MSE-V: 0.38,	SSIM-Y: 0.98353,	SSIM-U: 0.99486,	SSIM-V: 0.99546 ]	      5 bytes
Picture Number:   83	 QP:   22  [ PSNR-Y: 44.92 dB,	PSNR-U: 51.39 dB,	PSNR-V: 52.20 dB,	MSE-Y: 2.10,	MSE-U: 0.47,	MSE-V: 0.39,	SSIM-Y: 0.98208,	SSIM-U: 0.99464,	SSIM-V: 0.99535 ]	   1649 bytes
Picture Number:   84	 QP:   19  [ PSNR-Y: 45.35 dB,	PSNR-U: 51.33 dB,	PSNR-V: 52.08 dB,	MSE-Y: 1.90,	MSE-U: 0.48,	MSE-V: 0.40,	SSIM-Y: 0.98213,	SSIM-U: 0.99443,	SSIM-V: 0.99520 ]	      5 bytes
Picture Number:   85	 QP:   22  [ PSNR-Y: 44.79 dB,	PSNR-U: 51.42 dB,	PSNR-V: 52.02 dB,	MSE-Y: 2.16,	MSE-U: 0.47,	MSE-V: 0.41,	SSIM-Y: 0.98175,	SSIM-U: 0.99468,	SSIM-V: 0.99516 ]	   4717 bytes
Picture Number:   86	 QP:   21  [ PSNR-Y: 45.13 dB,	PSNR-U: 51.37 dB,	PSNR-V: 52.10 dB,	MSE-Y: 1.99,	MSE-U: 0.47,	MSE-V: 0.40,	SSIM-Y: 0.98219,	SSIM-U: 0.99457,	SSIM-V: 0.99513 ]	      5 bytes
